label,struct_temp_1_hop_neighbor_max_time,struct_temp_1_hop_neighbor_mean_time,struct_temp_1_hop_neighbor_median_time,struct_temp_2_hop_neighbor_max_time,struct_temp_2_hop_neighbor_mean_time,struct_temp_2_hop_neighbor_median_time,tweet_id
false,50507.03,1776.9509691629967,119.17,50507.03,1776.9509691629967,13.8,656955120626880512
true,34575.95,879.195606936416,108.92500000000001,34575.95,879.195606936416,995.98,615689290706595840
false,8851.47,247.85000000000005,13.485,8851.47,247.85000000000005,23.15,613404935003217920
unverified,171903.5,18762.265398230087,338.8,171903.5,18762.265398230087,387.3,731166399389962242
unverified,101483.42,1706.696533333333,56.13,101483.42,1706.696533333333,78.23500000000004,714598641827246081
true,1247.15,193.57772222222238,121.135,1247.15,193.57772222222238,13.149999999999977,614467824313106432
unverified,82670.3,655.5176396396397,129.94,82670.3,655.5176396396397,61.655,715515982584881152
non-rumor,20209.85,810.9893197278918,118.21,20209.85,810.9893197278918,39.080000000000005,693315824132685824
non-rumor,33200.27,904.7049999999999,101.45,33200.27,904.7049999999999,167.71,693843042546106369
false,5977.57,604.3188372093019,186.18,5977.57,604.3188372093019,123.64999999999999,622891631293935616
non-rumor,39542.08,268.19252032520336,24.13,39542.08,268.19252032520336,33.76500000000002,692630756548591616
non-rumor,2796.67,90.69129824561402,16.05,2796.67,90.69129824561402,8.350000000000023,693265096278163456
true,2594.75,32.24649122807018,4.355,2594.75,32.24649122807018,1.9100000000000001,553589051044151296
true,403.63,10.718858447488586,2.7,403.63,10.718858447488586,4.655000000000001,553590835850514433
false,50285.45,726.4940554156173,68.68,50285.45,726.4940554156173,31.215,622858454949040128
false,12598.6,133.0612745098039,16.835,12598.6,133.0612745098039,41.86000000000001,656870311057575936
true,201131.52,1976.7308606557383,93.935,201131.52,1976.7308606557383,37.06499999999998,616311563071434753
non-rumor,6249.93,97.35254752851709,5.1,6249.93,97.35254752851709,4.25,641666167992647681
true,1560.07,94.57522580645161,22.025,1560.07,94.57522580645161,23.685000000000002,525060425184858112
false,22116.75,271.5355797101449,13.6,22116.75,271.5355797101449,7.950000000000001,672513234419638273
true,1687.83,129.36628571428574,65.13,1687.83,129.36628571428574,29.05000000000001,544382892378714113
non-rumor,193293.6,4770.370288461539,1303.205,193293.6,4770.370288461539,45.61999999999989,681824512120324096
false,40180.42,1338.0479999999998,62.85,40180.42,1338.0479999999998,4.605000000000004,620835698514464768
false,72883.13,2003.650298769768,59.865,72883.13,2003.650298769768,18.15,626898253900943360
false,98014.53,712.74262443439,22.43,98014.53,712.74262443439,32.865,618804516578680832
false,12058.33,3475.088260869566,1504.835,12058.33,3475.088260869566,507.6700000000001,672632899921833984
true,165.68,7.828910891089102,2.37,165.68,7.828910891089102,12.21,553588178687655936
false,475048.13,15705.092119700736,8125.83,475048.13,15705.092119700736,37.45000000000073,594687353937100801
false,307.1,36.7473275862069,17.6,307.1,36.7473275862069,8.714999999999996,613016993692798977
false,307026.13,1596.519920318725,16.61,307026.13,1596.519920318725,15.810000000000002,663385747177775105
